region,child
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Asia,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
Africa,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
North America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
South America,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Oceania,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
Europe,x
