Country,region,GDP,Life expectancy,Population
Afghanistan,Asia,19101353833,64.5,38041754
Albania,Europe,15278077447,78.5,2854191
Algeria,Africa,170000000000,76.7,43053054
Andorra,Europe,3154057987,,77142
Angola,Africa,94635415870,60.8,31825295
Antigua and Barbuda,North America,$0.99 ,"St. John's,24.30%
Argentina,South America,450000000000,76.5,44938712
Armenia,Asia,13672802158,74.9,2957731
Australia,Oceania,1390000000000,82.7,25766605
Austria,Europe,446000000000,81.6,8877067
Azerbaijan,Asia,39207000000,72.9,10023318
Bahrain,Asia,$0.43 ,Riffa,0.93
Bangladesh,Asia,$1.12 ,Dhaka,0.58
Barbados,North America,5209000000,79.1,287025
Belarus,Europe,63080457023,74.2,9466856
Belgium,Europe,530000000000,81.6,11484055
Belize,North America,1879613600,74.5,390353
Benin,Africa,14390709095,61.5,11801151
Bhutan,Asia,2446674101,71.5,727145
Bolivia,South America,40895322865,71.2,11513100
Botswana,Africa,18340510789,69.3,2346179
Brazil,South America,1840000000000,75.7,212559417
Brunei,Asia,13469422941,75.7,433285
Bulgaria,Europe,86000000000,74.9,6975761
Burkina Faso,Africa,15745810235,61.2,20321378
Burundi,Africa,3012334882,61.2,11530580
Cape Verde,Africa,1981845741,72.8,483628
Cambodia,Asia,27089389787,69.6,16486542
Cameroon,Africa,38760467033,58.9,25876380
Canada,North America,1740000000000,81.9,36991981
Chad,Africa,11314951343,54,15946876
Chile,South America,282000000000,80,18952038
China,Asia,19900000000000,77,1397715000
Colombia,South America,324000000000,77.1,50339443
Comoros,Africa,,"Moroni,74.80%
Costa Rica,North America,61773944174,80.1,5047561
Croatia,Europe,60415553039,78.1,4067500
Cuba,North America,100000000000,78.7,11333483
Cyprus,Asia,24564647935,80.8,1198575
Denmark,Europe,348000000000,81,5818553
Djibouti,Africa,3318716359,66.6,973560
Dominica,North America,596033333,76.6,71808
Dominican Republic,North America,88941298258,73.9,10738958
Ecuador,South America,107000000000,76.8,17373662
Egypt,Africa,303000000000,71.8,100388073
El Salvador,North America,27022640000,73.1,6453553
Equatorial Guinea,Africa,11026774945,58.4,1355986
Eritrea,Africa,2065001626,65.9,6333135
Estonia,Europe,31386949981,78.2,1331824
Eswatini,Africa,3791304348,,1093238
Ethiopia,Africa,96107662398,66.2,112078730
Fiji,Oceania,5535548972,67.3,889953
Finland,Europe,269000000000,81.7,5520314
France,Europe,2720000000000,82.5,67059887
Gabon,Africa,16657960228,66.2,2172579
Georgia,Asia,17743195770,73.6,3720382
Germany,Europe,3850000000000,80.9,83132799
Ghana,Africa,66983634224,63.8,30792608
Greece,Europe,210000000000,81.3,10716322
Grenada,North America,$1.12 ,"St. George's,57.00%
Guatemala,North America,76710385880,74.1,16604026
Guinea,Africa,13590281809,61.2,12771246
Guinea-Bissau,Africa,1340389411,58,1920922
Guyana,South America,$0.90 ,"Georgetown,40.50%
Haiti,North America,8498981821,63.7,11263077
Vatican City,Europe,,,
Honduras,North America,25095395475,75.1,9746117
Hungary,Europe,161000000000,75.8,9769949
Iceland,Europe,24188035739,82.7,361313
India,Asia,2610000000000,69.4,1366417754
Indonesia,Asia,1120000000000,71.5,270203917
Iran,Asia,445000000000,76.5,82913906
Iraq,Asia,234000000000,70.5,39309783
Ireland,Europe,389000000000,82.3,5007069
Israel,Asia,395000000000,82.8,9053300
Italy,Europe,2000000000000,82.9,60297396
Jamaica,North America,$1.11 ,"Kingston,23.70%
Japan,Asia,5080000000000,84.2,126226568
Jordan,Asia,43743661972,74.4,10101694
Kazakhstan,Asia,180000000000,73.2,18513930
Kenya,Africa,95503088538,66.3,52573973
Kiribati,Oceania,194647202,68.1,117606
Kuwait,Asia,135000000000,75.4,4207083
Kyrgyzstan,Asia,8454619608,71.4,6456900
Laos,Asia,18173839128,67.6,7169455
Latvia,Europe,34117202555,74.7,1912789
Lebanon,Asia,53367042272, Lebanon",2.1
Lesotho,Africa,2460072444,53.7,2125268
Liberia,Africa,3070518100,63.7,4937374
Libya,Africa,52076250948,72.7,6777452
Liechtenstein,Europe,6552858739,83,38019
Lithuania,Europe,54219315600,75.7,2786844
Luxembourg,Europe,71104919108,82.1,645397
Madagascar,Africa,14083906357,66.7,26969307
Malawi,Africa,7666704427,63.8,18628747
Malaysia,Asia,365000000000,76,32447385
Maldives,Asia,$1.63 ,Mal�,4.56
Mali,Africa,17510141171,58.9,19658031
